PORTFOLIO HOLDINGS INFORMATION,,,,
AS OF 4/1/2021,,,,
,,,,
Fund Ticker, Fund Name, Security Ticker, Security Sedol, Security Description, Coupon, Maturity Date, Shares/Contracts, Exposure Value (Notional + G/L), Market Value
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","SHW","2804211","SHERWIN-WILLIAMS CO/THE",,,458832,,114593292,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","ECL","2304227","ECOLAB INC",,,527231,,114330042.35,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","PEP","2681511","PEPSICO INC",,,808001,,114154381.28,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","MDT","BTN1Y11","MEDTRONIC PLC",,,960554,,113527877.26,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","CL","2209106","COLGATE-PALMOLIVE CO",,,1432165,,112496560.75,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","APD","2011602","AIR PRODUCTS & CHEMICALS INC",,,394858,,112495044.2,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","JNJ","2475833","JOHNSON & JOHNSON",,,684693,,111488561.19,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","ABBV","B92SR70","ABBVIE INC",,,1010114,,109617571.28,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","ROP","2749602","ROPER TECHNOLOGIES INC",,,267122,,109613512.7,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","MKC","2550161","MCCORMICK & CO-NON VTG SHRS",,,1218909,,108775439.16,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","BF/B","2146838","BROWN-FORMAN CORP-CLASS B",,,1537352,,107076566.8,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","CLX","2204026","CLOROX COMPANY",,,553414,,106714821.62,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","WST","2950482","WEST PHARMACEUTICAL SERVICES",,,373161,,106265057.97,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","VFC","2928683","VF CORP",,,1335330,,106145381.7,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","BDX","2087807","BECTON DICKINSON AND CO",,,432779,,104550750.82,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","WMT","2936921","WALMART INC",,,765267,,103785510.54,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","NEE","2328915","NEXTERA ENERGY INC",,,1329777,,100757203.29,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","ALB","2046853","ALBEMARLE CORP",,,644638,,97172732.12,
"NOBL","ProShares S&P 500 Dividend Aristocrats ETF","","","Net Other Assets / Cash",,,16133425.46,,16133425.46,
